iter	Passed	Remaining
0	54	10785
1	54	5410
2	54	3609
3	55	2713
4	55	2174
5	56	1813
6	56	1556
7	56	1362
8	57	1210
9	57	1091
10	57	992
11	58	909
12	58	838
13	58	778
14	58	727
15	59	681
16	59	641
17	59	605
18	60	573
19	60	545
20	60	518
21	61	494
22	61	472
23	61	452
24	62	434
25	62	417
26	62	401
27	62	386
28	63	373
29	63	360
30	63	348
31	64	337
32	64	327
33	65	317
34	65	308
35	65	299
36	66	291
37	66	283
38	66	275
39	67	268
40	67	261
41	67	254
42	67	247
43	68	241
44	68	235
45	68	230
46	69	224
47	69	219
48	69	214
49	70	210
50	70	205
51	70	201
52	70	196
53	71	192
54	71	188
55	71	184
56	72	180
57	72	177
58	72	173
59	72	170
60	73	166
61	73	163
62	73	160
63	73	157
64	74	154
65	74	151
66	74	148
67	74	145
68	75	142
69	75	140
70	75	137
71	76	135
72	76	132
73	76	130
74	76	128
75	77	126
76	77	123
77	77	121
78	78	119
79	78	117
80	78	115
81	78	113
82	79	111
83	79	109
84	79	107
85	79	105
86	80	104
87	80	102
88	80	100
89	81	99
90	81	97
91	81	95
92	81	94
93	82	92
94	82	91
95	82	89
96	82	88
97	83	86
98	83	85
99	83	83
100	83	82
101	84	80
102	84	79
103	84	78
104	85	76
105	85	75
106	85	74
107	85	73
108	86	72
109	86	70
110	86	69
111	87	68
112	87	67
113	87	66
114	87	64
115	87	63
116	88	62
117	88	61
118	88	60
119	88	59
120	88	58
121	89	56
122	89	55
123	89	54
124	89	53
125	89	52
126	90	51
127	90	50
128	90	49
129	90	48
130	91	48
131	91	47
132	91	46
133	91	45
134	91	44
135	92	43
136	92	42
137	92	41
138	92	40
139	93	39
140	93	39
141	93	38
142	94	37
143	94	36
144	94	35
145	95	35
146	95	34
147	95	33
148	95	32
149	96	32
150	96	31
151	97	30
152	97	29
153	97	29
154	97	28
155	98	27
156	98	26
157	98	26
158	99	25
159	99	24
160	99	24
161	100	23
162	100	22
163	100	22
164	101	21
165	101	20
166	101	20
167	102	19
168	102	18
169	102	18
170	103	17
171	103	16
172	103	16
173	103	15
174	104	14
175	104	14
176	104	13
177	105	12
178	105	12
179	105	11
180	106	11
181	106	10
182	106	9
183	106	9
184	107	8
185	107	8
186	107	7
187	108	6
188	108	6
189	108	5
190	108	5
191	109	4
192	109	3
193	109	3
194	109	2
195	110	2
196	110	1
197	110	1
198	110	0
199	111	0
